italian,vulgar_latin
squadrare,exquadrare
squarciare,exquartiare
squartare,exquartare
stabbiare,stablare
stabbio,stablum
stanza,stantia
stentare,extentare
stoppare,stuppare
storcere,extorcere
stordire,exturdire
storpiare,exturpiare
stracciare,extractiare
strambo,strambus
strizzare,strictiare
strusciare,extrusciare
stutare,extutare
subbia,subla
subbio,sublum
succhiare,suculare
suggello,sugillum
suola,sola
susina,susina
susino,susina
svagare,exvagare
svellere,exvellere
sventare,exvento
svolare,exvolare
tafano,tafanus
tamagno,tam magnus
tardivo,tardivus
tastare,tastare
tegghia,tegla
tegnente,tenientem
tempia,templa
tenda,tenda
terrazzo,terraceus
teschio,testulum
tessadro,texator
ti,ti
tirare,tiro
toccare,toccare
torcere,torcere
torchiare,torclare
torchio,torclum
tosare,tonsare
tracciare,tractio
trarre,tragere
trascinare,traxinare
trebbia,tribla
trebbiare,triblare
treccare,triccare
tremare,tremare
tremolare,tremulare
trina,trena
trinciare,trinicare
tristo,tristum
trono,tronus
troppo,troppus
trovare,tropare
trozza,torsus
truono,tronus
turare,turare
tutto,tottus
uccello,avicellus
ucchio,uclus
unghia,ungla
usignolo,lusciniolus
vaccareccia,vaccaricia
vagliare,valliare
vaio,valleus
vantare,vanitare
vassoio,missorium
vecchio,veclus
vedova,viduva
vedovo,viduvus
vela,vela
ventricchio,ventriclu
verde,virdis
verdezza,verditia
verdura,virdura
vergella,virgella
vergogna,verecunnia
verza,virdia
vescica,vexica
vinaccia,vinacea
vinto,vinctus
vischio,visclum
vista,visita
visto,visitus
vitigno,vitignus
voglia,volia 
volere,volere
volta,volta
voltare,voltare
volto,voltus
vosco,voscum
votare,votare
vuoto,vocitus
zoppicare,cloppicare
zoppo,cloppus
zufolare,sufilare
